IE_XML_ID;IE_NAME;IP_PROP228;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_PRICE_1;CV_CURRENCY_1
90011070;Обойма в сборе;9.001-107.0;1;10;10;14;495.00;RUB
90470260;Пружина;9.047-026.0;2;7;7;17;38.00;RUB
90019990;Головка цилиндра;9.001-999.0;69;62;48;62;2145.00;RUB
90020280;Набор запасных частей;9.002-028.0;6;50;15;100;1337.00;RUB
90020270;Соединение с баком д/моющ ср-ва;9.002-027.0;7;70;20;100;936.00;RUB
90020290;Картер рулевого механизма;9.002-029.0;82;100;56;160;2479.00;RUB
90020170;Инжектор в сборе;9.002-017.0;4;70;17;100;763.00;RUB
90421290;Прямоточная направляющая;9.042-129.0;143;100;60;100;0.00;RUB
90019060;Мотор H70 Cu K3/K4;9.001-906.0;0;;;;12104.00;RUB
90016710;Поворотная плита;9.001-671.0;123;110;20;120;4485.00;RUB
90019390;Распределительный щит комплектный;9.001-939.0;0;;;;4160.00;RUB
90842310;Кабель с штепсель;9.084-231.0;0;;;;0.00;RUB
90374410;Распределительный щит WCM;9.037-441.0;1;15;3;17;47.00;RUB
63684130;Поэзия выключатель;6.368-413.0;0;;;;119.00;RUB
50372000;Крючок жёлтый;5.037-200.0;15;70;30;30;248.00;RUB
73140400;Цилиндрический штифт 5m6x50 -A1 ISO 233;7.314-040.0;0;;;;119.00;RUB
50331690;Держатель форсунка для пола;5.033-169.0;0;;;;421.00;RUB
50692460;Кожух крышка;5.069-246.0;0;;;;248.00;RUB
62732750;Пеноматериал;6.273-275.0;0;;;;47.00;RUB
53637190;Поэзия;5.363-719.0;0;;;;47.00;RUB
52501520;Подшипник;5.250-152.0;12;53;53;5;66.00;RUB
45152780;Колесо в сборе;4.515-278.0;0;;;;0.00;RUB
54436630;Шланговый ниппель D 7,5;5.443-663.0;0;;;;674.00;RUB
40690190;Кожух воздуходувка только для замены;4.069-019.0;0;;;;4200.00;RUB
63632420;О-Кольцо 6x2,2 EPDM 80 SH;6.363-242.0;0;;;;47.00;RUB
69041430;Фильтр-мешки 5 шт. + микрофильтр 1 шт.;6.904-143.0;400;188;66;260;0.00;RUB
64144980;Комплект плоских складчатых фильтров;6.414-498.0;200;255;75;80;0.00;RUB
69065110;Комбинированная насадка DN35;6.906-511.0;498;340;75;400;0.00;RUB
