IE_XML_ID;IE_NAME;IP_PROP228;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_PRICE_1;CV_CURRENCY_1
63965250;Шланг высокого давления 12MPa/4 40°C NQC;6.396-525.0;0;;;;0.00;RUB
63962280;Шланг высокого давления 12MPa/10 40°C;6.396-228.0;554;200;80;200;2626.00;RUB
47605350;Комплект струйной трубки K2 025;4.760-535.0;170;40;40;447;0.00;RUB
26417460;T 50 Gerфtebeilage;2.641-746.0;0;;;;0.00;RUB
28845300;Набор запасных частей pотор T 50;2.884-530.0;0;;;;2869.00;RUB
63965130;Шланг высокого давления 12MPa/4 40°C QCS;6.396-513.0;225;200;50;270;1692.00;RUB
26431000;Всасывающий шланг SH 5 м.;2.643-100.0;897;255;286;97;2039.00;RUB
63923883;Шланг в.д.16MPa/12 60°C QC Eco;6.392-388.3;1026;315;65;350;0.00;RUB
63917940;Шланг для HD* 16MPa/9m 60АC;6.391-794.0;900;300;60;300;4788.00;RUB
90861570;Винт 5х30;9.086-157.0;5;12;12;33;0.00;RUB
46239090;Мотор комплектный заменитель -K6.91*AUS;4.623-909.0;0;;;;22072.00;RUB
66489920;Кабель с штепсель *Aus;6.648-992.0;0;;;;1417.00;RUB
66489970;Кабель с штепсель *GB;6.648-997.0;0;;;;2107.00;RUB
90021580;Давление поршень сталь (9012-3330);9.002-158.0;0;;;;0.00;RUB
90024660;Инжектор моющее средство комплектный;9.002-466.0;5;80;30;30;273.00;RUB
90804720;O-ring 9 x 1,5 NBR 70;9.080-472.0;0;;;;47.00;RUB
90024850;Поршень;9.002-485.0;315;80;80;85;1244.00;RUB
51159770;Колпак колеса колесо алюминий;5.115-977.0;0;;;;53.00;RUB
73033280;Винт M5x8;7.303-328.0;5;10;10;10;34.00;RUB
44407880;Шланг высокого давления M 12/16 МПа KAER;4.440-788.0;1061;340;55;340;0.00;RUB
90019830;Мотор комплектный;9.001-983.0;0;;;;12545.00;RUB
90017480;КЗЧ всасывающей стороны K3/K4;9.001-748.58;58;130;120;50;1107.00;RUB
90019480;Мотор комплектный;9.001-948.0;0;;;;0.00;RUB
90018910;Двигатель 9012-8140;9.001-891.0;7300;255;215;320;0.00;RUB
90018500;Распределительный щит;9.001-850.0;624;230;230;80;5713.00;RUB
